Number;x;y;Longitude;Latitude;Intensity;Temperature (C);Distance (km);1;69;524;137.8971;39.98587;559;22;0
2;69;525;137.8971;39.97591;559;22;1.1071;;;;;;;;
3;69;526;137.8971;39.96595;558;22;2.214361;;;;;;;;
4;69;527;137.8971;39.95599;558;22;3.321784;;;;;;;;
5;69;528;137.8971;39.94603;555;21;4.429368;;;;;;;;
6;69;529;137.8971;39.93607;554;21;5.537113;;;;;;;;
7;69;530;137.8971;39.92611;553;21;6.645019;;;;;;;;
8;69;531;137.8971;39.91614;556;21;7.753087;;;;;;;;
9;69;532;137.8971;39.90618;554;21;8.861316;;;;;;;;
10;69;533;137.8971;39.89621;555;21;9.969706;;;;;;;;
11;69;534;137.8971;39.88624;556;21;11.07826;;;;;;;;
12;69;535;137.8971;39.87627;557;21;12.18697;;;;;;;;
13;69;536;137.8971;39.8663;557;21;13.29584;;;;;;;;
14;68;537;137.8841;39.85632;557;21;14.44749;;;;;;;;
15;68;538;137.8841;39.84635;557;21;15.55365;;;;;;;;
16;68;539;137.8841;39.83637;557;21;16.66038;;;;;;;;
17;68;540;137.8841;39.82639;558;22;17.7676;;;;;;;;
18;68;541;137.8841;39.81641;557;21;18.87524;;;;;;;;
19;68;542;137.8841;39.80643;557;21;19.98328;;;;;;;;
20;68;543;137.8841;39.79645;557;21;21.09166;;;;;;;;
21;68;544;137.8841;39.78646;557;21;22.20037;;;;;;;;
22;68;545;137.8841;39.77648;556;21;23.30938;;;;;;;;
23;68;546;137.8841;39.76649;555;21;24.41867;;;;;;;;
24;68;547;137.8841;39.7565;554;21;25.52822;;;;;;;;
25;68;548;137.8841;39.74651;551;21;26.63802;;;;;;;;
26;68;549;137.8841;39.73652;553;21;27.74807;;;;;;;;
27;67;550;137.8711;39.72653;556;21;28.9223;;;;;;;;
28;67;551;137.8711;39.71654;557;21;30.03045;;;;;;;;
29;67;552;137.8711;39.70654;556;21;31.13898;;;;;;;;
30;67;553;137.8711;39.69654;554;21;32.24787;;;;;;;;
31;67;554;137.8711;39.68655;554;21;33.3571;;;;;;;;
32;67;555;137.8711;39.67655;553;21;34.46666;;;;;;;;
33;67;556;137.8711;39.66654;554;21;35.57653;;;;;;;;
34;67;557;137.8711;39.65654;557;21;36.68669;;;;;;;;
35;67;558;137.8711;39.64654;559;22;37.79714;;;;;;;;
36;67;559;137.8711;39.63653;559;22;38.90786;;;;;;;;
37;67;560;137.8711;39.62652;558;22;40.01885;;;;;;;;
38;67;561;137.8711;39.61652;558;22;41.13009;;;;;;;;
39;67;562;137.8711;39.60651;560;22;42.24158;;;;;;;;
40;67;563;137.8711;39.59649;559;22;43.35331;;;;;;;;
41;66;564;137.8581;39.58648;557;21;44.53461;;;;;;;;
42;66;565;137.8581;39.57647;557;21;45.64513;;;;;;;;
43;66;566;137.8581;39.56645;552;21;46.75595;;;;;;;;
44;66;567;137.8581;39.55643;549;21;47.86706;;;;;;;;
45;66;568;137.8581;39.54642;551;21;48.97846;;;;;;;;
46;66;569;137.8581;39.5364;552;21;50.09014;;;;;;;;
47;66;570;137.8581;39.52637;552;21;51.20209;;;;;;;;
48;66;571;137.8581;39.51635;544;20;52.31429;;;;;;;;
49;66;572;137.8581;39.50633;550;21;53.42676;;;;;;;;
50;66;573;137.8581;39.4963;551;21;54.53948;;;;;;;;
51;66;574;137.8581;39.48627;548;21;55.65244;;;;;;;;
52;66;575;137.8581;39.47624;538;20;56.76564;;;;;;;;
53;66;576;137.8581;39.46621;533;19;57.87908;;;;;;;;
54;65;577;137.8451;39.45618;544;20;59.06607;;;;;;;;
55;65;578;137.8451;39.44615;538;20;60.17862;;;;;;;;
56;65;579;137.8451;39.43611;536;19;61.29144;;;;;;;;
57;65;580;137.8451;39.42608;538;20;62.40453;;;;;;;;
58;65;581;137.8451;39.41604;549;21;63.51788;;;;;;;;
59;65;582;137.8451;39.406;554;21;64.63148;;;;;;;;
60;65;583;137.8451;39.39596;551;21;65.74534;;;;;;;;
61;65;584;137.8451;39.38592;557;21;66.85944;;;;;;;;
62;65;585;137.8451;39.37588;553;21;67.97379;;;;;;;;
63;65;586;137.8451;39.36583;555;21;69.08837;;;;;;;;
64;65;587;137.8451;39.35579;557;21;70.20319;;;;;;;;
65;65;588;137.8451;39.34574;558;22;71.31824;;;;;;;;
66;65;589;137.8451;39.33569;555;21;72.43352;;;;;;;;
67;65;590;137.8451;39.32564;552;21;73.54902;;;;;;;;
68;64;591;137.8321;39.31559;531;19;74.73939;;;;;;;;
69;64;592;137.8321;39.30553;529;19;75.85424;;;;;;;;
70;64;593;137.8321;39.29548;528;19;76.96935;;;;;;;;
71;64;594;137.8321;39.28542;529;19;78.0847;;;;;;;;
72;64;595;137.8321;39.27536;533;19;79.20029;;;;;;;;
73;64;596;137.8321;39.26531;533;19;80.31611;;;;;;;;
74;64;597;137.8321;39.25524;547;20;81.43217;;;;;;;;
75;64;598;137.8321;39.24518;555;21;82.54847;;;;;;;;
76;64;599;137.8321;39.23512;554;21;83.66499;;;;;;;;
77;64;600;137.8321;39.22505;555;21;84.78173;;;;;;;;
78;64;601;137.8321;39.21499;548;21;85.8987;;;;;;;;
79;64;602;137.8321;39.20492;546;20;87.01589;;;;;;;;
80;64;603;137.8321;39.19485;538;20;88.1333;;;;;;;;
81;63;604;137.8191;39.18478;522;18;89.32739;;;;;;;;
82;63;605;137.8191;39.17471;514;17;90.4443;;;;;;;;
83;63;606;137.8191;39.16463;507;16;91.56144;;;;;;;;
84;63;607;137.8191;39.15456;499;16;92.67881;;;;;;;;
85;63;608;137.8191;39.14448;489;15;93.79642;;;;;;;;
86;63;609;137.8191;39.1344;488;15;94.91425;;;;;;;;
87;63;610;137.8191;39.12433;485;14;96.0323;;;;;;;;
88;63;611;137.8191;39.11424;490;15;97.15058;;;;;;;;
89;63;612;137.8191;39.10416;507;16;98.26908;;;;;;;;
90;63;613;137.8191;39.09408;512;17;99.38779;;;;;;;;
91;63;614;137.8191;39.08399;512;17;100.5067;;;;;;;;
92;63;615;137.8191;39.07391;530;19;101.6259;;;;;;;;
93;63;616;137.8191;39.06382;524;18;102.7452;;;;;;;;
94;63;617;137.8191;39.05373;539;20;103.8648;;;;;;;;
95;62;618;137.8061;39.04364;532;19;105.0616;;;;;;;;
